,corporate_brand,material_type,development_lifecycle_status,enterprise_category,enterprise_sub_category,dosage_form_parent,corp_brand_id,network_or_business_unit,profit_center,brand_name,material_description,material_group,old_material_number,base_unit_of_measure,unit_of_weight,plant_specific_material_status,mrp_type,procurement_type,safety_stock,minimum_lot_size,maximum_lot_size,fixed_lot_size,total_replenishment_lead_time,total_shelf_life,batch_management,abc_indicator,source,concost_source,Plant Type,nodetype,unit_of_measure,material,plant,date,quantity_curr,total_cost_curr,cost_per_unit_curr,snapshot_type,snapshot_date,sku_status,prev_snapshot_date,snapshot_date_prev,quantity_prev,cost_per_unit_prev,total_cost_prev,is_new_in_current_snapshot,is_dropped_in_current_snapshot,delta_quantity,delta_cost_per_unit,quantity_impact,cost_impact,interaction_impact,total_fip_change,delta_quantity_pct,delta_cost_per_unit_pct,quantity_impact_pct_of_total,cost_impact_pct_of_total,interaction_pct,abs_qty_impact,abs_cost_impact,dominance_score,is_qty_present_greater0,history_weeks_count,hist_count,has_sufficient_6periods,presence_stability_score,history_confidence,inactive_last_n,history_weeks_count_greater0,sku_presence_class,unit_of_measure_prev,uom_change_flag,dup_count,duplicate_sku_plant_flag,dominance_score_var_4,dominance_instability_flag,rca_mode,relative_fip_impact,quantity_change_sign,quantity_persistence_score,quantity_rolling_median_12w,is_structural_extreme_qty,clean_delta_quantity,delta_qty_rolling_mad_12w,quantity_z_scr,qty_z_hist_count,has_quantity_zscore,is_statistical_outlier_qty,qty_abs_pct_threshold,has_valid_pct_scale,is_pct_outlier_qty,is_quantity_outlier,rolling_avg_delta_qty_12w,trend_strength,has_valid_cp_strength,delta_qty_rolling_median_abs_12w,fallback_change_strength,use_fallback_cp,rolling_avg_delta_qty_6w,trend_confirmed,change_point_detected,post_cp_level,within_new_regime_band,regime_stability_score,is_regime_stable,effective_change_point,is_noise_base,is_signal_base,is_explainable,is_noise_governed,is_signal_governed,noise_reason,is_price_outlier,price_event_type,is_top10_contributor
1067638,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-07-18,NEW,,,,,,False,False,,,,,,,,,0.0,0.0,0.0,,,,1,1.0,0,False,0.0,0.0,False,1.0,ERRATIC,,False,1.0,False,,False,LIMITED_RCA,,,0,,False,,,,0.0,False,False,0.0,False,False,False,,,False,,,False,,False,False,,False,,False,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067639,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-07-25,EXISTING,2025-07-18,2025-07-18,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1,False,0.08333333333333333,0.08333333333333333,False,2.0,ERRATIC,ST,False,1.0,False,,False,LIMITED_RCA,0.0,0.0,0,,False,0.0,,,0.0,False,False,0.0,False,False,False,,,False,,,False,,False,False,2000.0,True,,False,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067640,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-08-01,EXISTING,2025-07-25,2025-07-25,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2,False,0.16666666666666666,0.16666666666666666,False,3.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,,False,0.0,,,1.0,False,False,0.0,False,False,False,,,False,,,False,,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067641,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-08-08,EXISTING,2025-08-01,2025-08-01,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3,False,0.25,0.25,False,4.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,,False,0.0,,,2.0,False,False,0.0,False,False,False,,,False,,,False,,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067642,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-08-15,EXISTING,2025-08-08,2025-08-08,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4,False,0.3333333333333333,0.3333333333333333,False,5.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,,False,0.0,,,3.0,False,False,0.0,False,False,False,,,False,,,False,0.0,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067643,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-08-22,EXISTING,2025-08-15,2025-08-15,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,5,False,0.4166666666666667,0.4166666666666667,False,6.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,,False,0.0,,,4.0,False,False,0.0,False,False,False,,,False,,,False,0.0,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067644,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,bd13,2025-08-26,EXISTING,,,,,,False,False,,,,,,,,,0.0,0.0,0.0,,,,1,7.0,6,True,0.5,0.5,False,7.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,,,0,2000.0,False,,,,5.0,False,False,0.0,False,False,False,,,False,,,False,0.0,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067645,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-08-29,EXISTING,2025-08-22,2025-08-22,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,7,True,0.5833333333333334,0.5833333333333334,False,8.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,2000.0,False,0.0,,,5.0,False,False,0.0,False,False,False,,,False,,,False,0.0,False,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067646,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-09-05,EXISTING,2025-08-29,2025-08-29,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,8,True,0.6666666666666666,0.6666666666666666,False,9.0,ERRATIC,ST,False,1.0,False,0.0,False,LIMITED_RCA,0.0,0.0,0,2000.0,False,0.0,0.0,,6.0,False,False,0.0,False,False,False,0.0,,False,0.0,,False,0.0,True,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
1067647,ABRAXANE,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,INJECTION,03302043,BIOLOGICS,10013,ABRAXANE,ABRAXANE LINJ 100MG (1VL) 50ML RU,MINT0102,119840,ST,G,,Z3,External Procurement,0.0,1.0,0.0,0.0,0,36,X,,rr,concost dp,Internal,DC,ST,1420806,2021,202612,2000.0,138862.24000000002,69.43112,friday,2025-09-12,EXISTING,2025-09-05,2025-09-05,2000.0,69.43112,138862.24000000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,9,True,0.75,0.75,False,10.0,STABLE,ST,False,1.0,False,0.0,False,FULL_TEMPORAL_RCA,0.0,0.0,0,2000.0,False,0.0,0.0,,7.0,False,False,0.0,False,False,False,0.0,,False,0.0,,False,0.0,True,False,2000.0,True,3.0,True,False,False,True,True,False,True,,False,NO_PRICE_EVENT,False
