,material,plant,date,quantity_curr,total_cost_curr,concost_source,unit_of_measure,cost_per_unit_curr,source,corporate_brand,material_type,development_lifecycle_status,enterprise_category,enterprise_sub_category,dosage_form_parent,corp_brand_id,network_or_business_unit,snapshot_type,snapshot_date,prev_snapshot_date,snapshot_date_prev,quantity_prev,cost_per_unit_prev,total_cost_prev,is_new_in_current_snapshot,is_dropped_in_current_snapshot,delta_quantity,delta_cost_per_unit,quantity_impact,cost_impact,interaction_impact,total_fip_change,delta_quantity_pct,delta_cost_per_unit_pct,quantity_impact_pct_of_total,cost_impact_pct_of_total,interaction_pct,relative_fip_impact,quantity_volatility_12w,cost_volatility_12w,normalized_quantity_change,normalized_cost_change,quantity_change_sign,quantity_persistence_score,quantity_zscore,is_quantity_outlier,rolling_avg_quantity_12w,change_point_detected,is_noise,is_signal
59770,1423267,2026,202612,1150.0,123723.371,concost dp,ST,107.58554,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,1150.0,107.58554,123723.371,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,,False,,False,False,True
65390,1423267,2027,202612,523.0,56267.23742,concost dp,ST,107.58554,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,523.0,107.58554,56267.23742,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,,False,,False,False,True
63858,1423267,2091,202612,0.0,0.0,concost dp,ST,103.63238,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,0.0,103.63238,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0,,False,,False,False,True
64468,1423290,2023,202612,1.468833943363279e-10,7.784286713103938e-09,concost dp,ST,52.99637,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,0.0,52.99637,0.0,False,False,1.468833943363279e-10,0.0,7.784286713103938e-09,0.0,0.0,7.784286713103938e-09,inf,0.0,1.0,0.0,0.0,inf,,,,,1.0,1,,False,,False,False,True
58445,1423290,2026,202612,5148.99999999986,282206.49497999233,concost dp,ST,54.80802,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,4997.999999999887,54.80802,273930.4839599938,False,False,150.99999999997272,0.0,8276.011019998505,0.0,0.0,8276.011019998505,0.030212084833928798,0.0,1.0,0.0,0.0,0.030212084833928798,,,,,1.0,1,,False,,False,False,True
60385,1423290,2027,202612,4329.999999999824,237318.72659999033,concost dp,ST,54.80802,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,4951.999999999809,54.80802,271409.31503998954,False,False,-621.9999999999854,0.0,-34090.5884399992,0.0,-0.0,-34090.5884399992,-0.125605815831989,0.0,1.0,0.0,0.0,0.12560581583198896,,,,,-1.0,1,,False,,False,False,True
58073,1423290,2091,202612,6000.0,304205.04,concost dp,ST,50.70084,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,5856.0,50.70084,296904.11904,False,False,144.0,0.0,7300.9209599999995,0.0,0.0,7300.9209599999995,0.02459016393442623,0.0,1.0,0.0,0.0,0.024590163934426226,,,,,1.0,2,,False,,False,False,True
63398,1423290,2093,202612,327.0,16579.17468,concost dp,ST,50.70084,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,0.0,50.70084,0.0,False,False,327.0,0.0,16579.17468,0.0,0.0,16579.17468,inf,0.0,1.0,0.0,0.0,inf,,,,,1.0,1,,False,,False,False,True
58126,1423336,2026,202612,985.0,63422.97785,concost dp,ST,64.38881,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,985.0,64.38881,63422.97785,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,,False,,False,False,True
64169,1423336,2027,202612,2108.0,135731.61148000002,concost dp,ST,64.38881,rr,REVLIMID,FIN,COMMERCIAL,MARKET UNIT,SINGLE PRODUCT,CAPSULE,03302101,PHARMA,friday,2026-01-09,2026-01-02,2026-01-02,2108.0,64.38881,135731.61148000002,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,,False,,False,False,True
